year,故宮博物院遊客人次,市立美術館遊客人次,忠烈祠遊客人次,國立歷史博物館遊客人次,國立臺灣科學教育館[含商場]遊客人次,國立臺灣藝術教育館遊客人次,市立動物園遊客人次,市立兒童新樂園遊客人次,市立天文科學教育館遊客人次,兒童交通博物館遊客人次,客家文化主題公園遊客人次,小巨蛋遊客人次,青少年發展處遊客人次,國父紀念館[含廣場]遊客人次,士林官邸公園遊客人次,林安泰古厝遊客人次,順益臺灣原住民博物館遊客人次,陽明公園遊客人次,二二八紀念館遊客人次,中正紀念堂[含廣場]遊客人次,臺北自來水園區遊客人次,龍山寺遊客人次,關渡自然公園遊客人次,當代藝術館遊客人次,北投溫泉博物館遊客人次,林語堂故居遊客人次,圓山別莊遊客人次,臺北探索館遊客人次,凱達格蘭文化館遊客人次,101觀景臺遊客人次,美麗華百樂園摩天輪遊客人次,臺北市孔廟遊客人次,梅庭遊客人次,大龍峒保安宮遊客人次,台北霞海城隍廟遊客人次,西門紅樓遊客人次,草山行館遊客人次,寶藏巖遊客人次,芝山文化生態綠園遊客人次
 86~,2720482,382717,-,-,-,-,3656158,1467147,1361437,424657,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
 87~,3235169,557560,-,369678,-,-,3974946,1426760,1178572,241721,-,-,-,-,-,-,26135,-,-,-,-,-,-,-,66978,-,-,-,-,-,-,-,-,-,-,-,-,-,-
 88~,1667265,457998,595051,304178,188249,561768,4981102,1476024,1042598,302125,-,-,-,-,-,-,28731,194500,-,-,-,-,-,-,245193,-,-,-,-,-,-,-,-,-,-,-,-,-,-
 89~,1976921,723240,704653,669520,582519,230852,5794384,1300566,928569,-,-,-,-,697633,904843,153518,35909,1430000,-,2450000,-,-,-,-,233623,-,-,-,-,-,-,-,-,-,-,-,-,-,-
 90~,2149978,410004,535578,1450603,634882,235611,5473487,1050833,963050,124886,-,-,-,1304490,1313344,322418,35431,2199600,-,3495000,-,-,15666,41423,229576,-,-,-,-,-,-,-,-,-,-,-,-,-,-
 91~,2101217,412919,379500,584856,175193,526730,4147406,915856,1332299,735500,-,-,-,993711,1248345,216590,24001,2003000,53465,4910000,-,-,139319,111116,229080,24751,-,5232,6187,-,-,-,-,-,-,-,-,-,-
 92~,1327727,297254,209600,434726,21758,228023,2836936,940018,891007,870620,-,-,614860,2212784,1522040,152562,19558,2150000,38654,6187405,211891,-,128978,66308,177402,16861,96787,145751,38635,-,-,-,-,-,-,-,-,-,-
 93~,1544755,350074,169430,324991,1147591,237796,3054593,976677,847470,335808,-,-,946519,2137397,2072649,136510,30164,2310000,41855,5176719,303616,1672122,110472,97229,136606,15505,109229,206245,37071,-,262535,-,-,-,-,-,-,-,-
 94~,2637076,463751,244250,342276,1244537,322178,3106196,984658,823177,208776,-,102000,1086384,4217104,1545992,141352,22887,1787000,32377,3964172,329870,1783073,83210,93241,151304,14394,110575,200358,47334,921433,1256419,-,-,-,-,-,-,-,-
 95~,1995845,375730,275300,242844,1829549,317392,3460300,1061254,761559,462097,-,600764,675972,2780567,1427305,113778,26238,2231000,29128,10213994,253759,2358508,95272,81381,181581,17222,112276,231531,76295,1190411,762696,-,-,-,-,-,-,-,-
 96~,2650551,446738,277300,601292,1804536,336022,3370215,1020192,718016,141850,-,575961,588581,2597699,1573374,154050,24895,2219600,30306,11379230,479353,2128155,108125,89975,149385,9875,86266,172734,261258,1312832,628311,-,-,-,-,-,-,-,-
 97~,2244284,441540,325152,1028751,1448441,346414,3284443,962868,616637,106928,-,778839,473534,4105019,1624410,184623,21621,1706000,25411,5473929,629098,1816361,96771,134778,214331,16501,86504,168124,187045,1091069,467615,-,-,-,-,-,-,-,-
 98~,2574804,1144319,628905,744113,884216,307684,3673564,1235619,650606,-,-,1022643,390890,4780009,1584245,-,19620,2006000,34231,6890135,980560,577356,112583,214167,284089,16329,116811,182633,115237,1341510,469821,234139,-,-,-,-,-,-,-
 99~,3441248,1291681,1400796,655682,1658074,307767,2808110,2377372,616831,-,-,1046048,384613,6124293,1585250,-,22087,1858600,21487,7130446,1178489,277264,118259,360292,315022,15067,-,185577,183561,1819542,450480,300125,-,-,-,-,-,-,-
 100~,3849577,1342849,1623625,732907,2864856,284109,2710720,2303372,725678,-,82060,1097950,443277,7877796,1540470,44755,20058,1550300,36745,7143950,1233948,267503,113496,202864,377871,11353,59504,187532,201480,1914730,440377,400100,-,-,-,-,-,-,-
 101~,4360815,339275,1473139,710153,2321727,304539,2967234,963797,689034,-,513024,1047219,418481,14969535,1622620,114967,19143,1721400,50159,6542646,1158807,1780313,139319,178058,483093,18483,115243,215161,339913,2259659,358141,447719,-,-,-,-,-,-,-
 102~,4500678,360927,1736893,587311,2202450,349485,3222768,1025955,658197,-,642800,1119683,-,7462671,1633235,-,-,1827000,-,6307737,1168551,2662195,126733,189669,488854,-,123441,261147,251560,2256705,341884,479451,-,-,-,-,-,-,-
 103~,5402150,495354,1591856,358271,2326609,331572,4222083,833848,679682,-,694596,1056283,108879,6880087,1815657,-,-,1881400,-,6627161,1314187,2406032,133605,236812,540010,-,111876,259691,247455,2840835,338378,490097,-,-,-,-,-,-,-
 104~,5287867,628133,1634535,196774,2437875,390848,3301427,2381327,524520,-,616050,1407991,193452,6588748,1692010,-,-,1832420,-,7092504,1294621,2330146,157730,226664,534055,-,27684,340125,320244,2839694,330107,498807,240202,-,-,3256135,83628,254550,55669
 105~,4665725,682142,1625780,330960,2956910,451626,3237354,1879202,439528,-,693023,1133962,275484,6246672,1976855,-,-,1507675,-,6953671,1216714,2450174,133043,287517,439911,-,31087,197924,474294,2582857,317478,456532,422715,777684,34502,4094007,100500,217517,60252
 106~,4410923,510595,1784736,390871,2869361,337082,3047954,2100585,602440,-,714408,1198764,678839,5253356,2481264,-,-,1538623,-,4493653,1277758,-,122778,198013,267253,-,29333,254328,493417,2252457,273140,428367,443106,782684,56603,2644552,79905,360777,54127
 107~,3860644,284456,1668865,187531,2055375,279530,3252458,2079454,846112,-,728753,1136216,670747,4508896,2804484,-,-,1304951,-,4419082,1216287,-,132641,267125,85156,-,28193,243201,457745,2126050,233939,439163,522493,1039330,34676,4211802,32175,388136,49730
 108~,3832373,520889,1638495,1415826,3000761,328595,3434650,2052414,879486,-,543552,1208552,676742,4715885,2815012,-,-,1149060,-,5207998,1346027,-,121554,337381,416568,-,20593,231460,238779,2388182,225710,445313,614229,827688,-,5036969,32351,370796,63077
 109~,642163,478157,166356,1287700,1082345,280590,2306123,1459733,618336,-,304279,799179,521154,2093050,1598240,-,-,764625,-,1577122,1429676,-,116559,136031,214806,-,-,190112,240837,623419,142227,288921,227899,611486,-,2076480,42480,343505,58867
 110~,416836,348594,18136,1326296,1158450,202570,1772753,910749,389821,-,257646,476428,334124,1368660,1564793,-,-,1287302,-,746346,476364,-,73705,107175,149584,-,700,132962,135471,163317,89561,237990,216713,612302,-,739113,3890,294169,43608
 111~,552639,384712,22459,1120253,1878504,354235,1910344,1266642,671590,-,252500,1053758,420593,1605735,1231168,-,-,3492672,-,1099300,320864,-,91346,143113,186101,-,22204,145894,215165,295658,117085,237902,165831,923524,-,1480899,6548,368143,92301
